,County,State,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14
248,Ventura County,CA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,61.0,177.0,274.0,384.0,465.0,503.0
249,Yolo County,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,33.0,71.0,125.0,155.0,161.0
250,Yuba County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,15.0,15.0,16.0,16.0
252,Adams County,CO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,50.0,260.0,475.0,805.0,1082.0,1391.0
253,Alamosa County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,9.0,10.0
254,Arapahoe County,CO,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,119.0,441.0,877.0,1342.0,1824.0,2252.0
255,Archuleta County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0,8.0
256,Baca County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,10.0,10.0
257,Bent County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,Boulder County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0,132.0,217.0,312.0,426.0,515.0
259,Broomfield County and City,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,61.0,95.0,113.0,141.0
260,Chaffee County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,26.0,35.0,55.0,66.0
261,Cheyenne County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,Clear Creek County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,10.0,11.0,12.0,13.0
263,Conejos County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,Costilla County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
265,Crowley County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
266,Custer County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
267,Delta County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,25.0,33.0
268,Denver County,CO,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0,262.0,643.0,927.0,1549.0,2172.0,2682.0
269,Dolores County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Douglas County,CO,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,67.0,171.0,270.0,329.0,399.0,449.0
271,Eagle County,CO,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,147.0,314.0,394.0,479.0,489.0,535.0
272,Elbert County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,17.0,26.0,27.0
273,El Paso County,CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,137.0,340.0,534.0,689.0,798.0,879.0
274,Fremont County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,19.0,22.0
275,Garfield County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,43.0,50.0,64.0,74.0,88.0
276,Gilpin County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
277,Grand County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0
278,Gunnison County,CO,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,57.0,86.0,99.0,111.0,121.0,158.0
279,Hinsdale County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0
280,Huerfano County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
281,Jackson County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Jefferson County,CO,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,131.0,385.0,660.0,860.0,1075.0,1276.0
283,Kiowa County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Kit Carson County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,13.0,18.0,20.0
285,Lake County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,10.0,17.0
286,La Plata County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,37.0,47.0,55.0,59.0
287,Larimer County,CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,61.0,124.0,174.0,217.0,274.0,321.0
288,Las Animas County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
289,Lincoln County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0
290,Logan County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,17.0,24.0,259.0
291,Mesa County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,17.0,32.0,34.0,37.0,40.0
292,Mineral County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
293,Moffat County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,6.0
294,Montezuma County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,15.0,15.0
295,Montrose County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,38.0,69.0,82.0,92.0
296,Morgan County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,44.0,122.0,214.0,298.0
297,Otero County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,7.0,8.0
298,Ouray County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0
299,Park County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,6.0,7.0
300,Phillips County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,6.0
301,Pitkin County,CO,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,23.0,36.0,39.0,51.0,57.0,61.0
